name,price,mileage,engine_type,transmission_type,color,drivewheel_configuration
Used 2021 Acura TLX w/ Technology Package,36568,"7,774",4-Cylinder Turbo,Automatic,Silver,2 Wheel Drive - Front
Certified 2023 Acura TLX SH-AWD w/ A-SPEC Pkg,43866,"2,296",4-Cylinder Turbo,Automatic,Gray,All Wheel Drive
Certified 2019 Acura TLX,25968,"24,100",4-Cylinder,Automatic,Offwhite,2 Wheel Drive - Front
Certified 2023 Acura TLX w/ A-SPEC Pkg,42865,"2,351",4-Cylinder Turbo,Automatic,Offwhite,2 Wheel Drive - Front
Certified 2020 Acura RDX FWD w/ A-Spec & Technology Pkg,33565,"49,001",4-Cylinder Turbo,Automatic,Blue,2 Wheel Drive - Front
Used 2020 Acura MDX FWD w/ Technology Package,32998,"51,150",6-Cylinder,Automatic,Offwhite,2 Wheel Drive - Front
Used 2020 Acura MDX FWD w/ Technology Package,33468,"45,098",6-Cylinder,Automatic,Offwhite,2 Wheel Drive - Front
Certified 2020 Acura MDX FWD w/ Technology Package,35698,"25,703",6-Cylinder,Automatic,Offwhite,2 Wheel Drive - Front
Certified 2020 Acura MDX FWD w/ Technology Package,35968,"25,939",6-Cylinder,Automatic,Gray,2 Wheel Drive - Front
Certified 2023 Acura MDX SH-AWD w/ Advance Package,60998,"2,680",6-Cylinder,Automatic,Offwhite,All Wheel Drive
Certified 2019 Acura ILX,21998,"63,511",4-Cylinder,Automatic,Offwhite,2 Wheel Drive - Front
Certified 2022 Acura MDX SH-AWD w/ A-Spec Package,47995,"31,950",6-Cylinder,Automatic,Silver,All Wheel Drive
Used 2022 Acura MDX SH-AWD w/ Advance Package,52990,"34,586",6-Cylinder,Automatic,Offwhite,All Wheel Drive
Used 2020 Acura RDX,34997,"41,174",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Used 2019 Acura MDX SH-AWD w/ A-SPEC Package,31993,"39,008",6-Cylinder,Automatic,Blue,All wheel drive
Used 2017 Acura RDX FWD w/ Advance Package,23923,"56,546",6-Cylinder,Automatic,Black,2 wheel drive - front
Used 2023 Acura RDX FWD w/ A-Spec Package,44895,"2,148",4-Cylinder Turbo,Automatic,Red,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Advance Package,29550,"43,275",4-Cylinder Turbo,Automatic,White,2 wheel drive - front
Certified 2023 Acura TLX,37727,163,4-Cylinder Turbo,Automatic,Gray,2 Wheel Drive - Front
Used 2019 Acura RDX FWD w/ Advance Package,30987,"39,761",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Technology Package,26999,"58,664",4-Cylinder Turbo,Automatic,Gray,2 wheel drive - front
Used 2022 Acura MDX FWD w/ Technology Package,43515,"25,476",6-Cylinder,Automatic,Silver,2 wheel drive - front
Used 2019 Acura RDX FWD w/ A-Spec & Technology Pkg,25999,"74,182",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2017 Acura RDX AWD w/ Advance Package,23493,"71,996",6-Cylinder,Automatic,Black,All wheel drive
Used 2020 Acura RDX FWD w/ Advance Package,33000,"25,745",4-Cylinder Turbo,Automatic,Black,2 wheel drive - front
Used 2021 Acura TLX w/ Advance Package,39568,"9,151",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Used 2017 Acura TLX,21998,"68,667",4-Cylinder,Automatic,White,2 wheel drive - front
Used 2021 Acura TLX w/ Technology Package,36568,"7,774",4-Cylinder Turbo,Automatic,Silver,2 wheel drive - front
Certified 2023 Acura TLX SH-AWD w/ A-SPEC Pkg,43866,"2,296",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Certified 2019 Acura TLX,25968,"24,100",4-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2023 Acura TLX w/ A-SPEC Pkg,42865,"2,351",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura RDX FWD w/ A-Spec & Technology Pkg,33565,"49,001",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,32998,"51,150",6-Cylinder,Automatic,Off White,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,33468,"45,098",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35698,"25,703",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35968,"25,939",6-Cylinder,Automatic,Gray,2 wheel drive - front
Certified 2023 Acura MDX SH-AWD w/ Advance Package,60998,"2,680",6-Cylinder,Automatic,Off White,All wheel drive
Certified 2019 Acura ILX,21998,"63,511",4-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura RDX FWD w/ A-Spec & Technology Pkg,36568,"20,699",4-Cylinder Turbo,Automatic,Black,2 Wheel Drive - Front
Used 2017 Acura MDX SH-AWD,30589,"61,908",6-Cylinder,Automatic,White,All Wheel Drive
Used 2020 Acura RDX,34997,"41,174",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Used 2019 Acura MDX SH-AWD w/ A-SPEC Package,31993,"39,008",6-Cylinder,Automatic,Blue,All wheel drive
Used 2017 Acura RDX FWD w/ Advance Package,23923,"56,546",6-Cylinder,Automatic,Black,2 wheel drive - front
Used 2023 Acura RDX FWD w/ A-Spec Package,44895,"2,148",4-Cylinder Turbo,Automatic,Red,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Advance Package,29550,"43,275",4-Cylinder Turbo,Automatic,White,2 wheel drive - front
Used 2023 Acura RDX FWD w/ A-Spec Package,48595,"1,144",4-Cylinder Turbo,Automatic,Silver,2 Wheel Drive - Front
Used 2019 Acura RDX FWD w/ Advance Package,30987,"39,761",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Technology Package,26999,"58,664",4-Cylinder Turbo,Automatic,Gray,2 wheel drive - front
Used 2022 Acura MDX FWD w/ Technology Package,43515,"25,476",6-Cylinder,Automatic,Silver,2 wheel drive - front
Used 2019 Acura RDX FWD w/ A-Spec & Technology Pkg,25999,"74,182",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2017 Acura RDX AWD w/ Advance Package,23493,"71,996",6-Cylinder,Automatic,Black,All wheel drive
Used 2020 Acura RDX FWD w/ Advance Package,33000,"25,745",4-Cylinder Turbo,Automatic,Black,2 wheel drive - front
Used 2021 Acura TLX w/ Advance Package,39568,"9,151",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Used 2017 Acura TLX,21998,"68,667",4-Cylinder,Automatic,White,2 wheel drive - front
Used 2021 Acura TLX w/ Technology Package,36568,"7,774",4-Cylinder Turbo,Automatic,Silver,2 wheel drive - front
Certified 2023 Acura TLX SH-AWD w/ A-SPEC Pkg,43866,"2,296",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Certified 2019 Acura TLX,25968,"24,100",4-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2023 Acura TLX w/ A-SPEC Pkg,42865,"2,351",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura RDX FWD w/ A-Spec & Technology Pkg,33565,"49,001",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,32998,"51,150",6-Cylinder,Automatic,Off White,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,33468,"45,098",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35698,"25,703",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35968,"25,939",6-Cylinder,Automatic,Gray,2 wheel drive - front
Certified 2023 Acura MDX SH-AWD w/ Advance Package,60998,"2,680",6-Cylinder,Automatic,Off White,All wheel drive
Certified 2019 Acura ILX,21998,"63,511",4-Cylinder,Automatic,Off White,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Advance Package,31315,"51,994",4-Cylinder Turbo,Automatic,Red,2 Wheel Drive - Front
Used 2022 Acura RDX w/ Technology Package,40869,"8,776",4-Cylinder Turbo,Automatic,Gray,2 Wheel Drive - Front
Used 2020 Acura RDX,34997,"41,174",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Used 2019 Acura MDX SH-AWD w/ A-SPEC Package,31993,"39,008",6-Cylinder,Automatic,Blue,All wheel drive
Used 2017 Acura RDX FWD w/ Advance Package,23923,"56,546",6-Cylinder,Automatic,Black,2 wheel drive - front
Used 2023 Acura RDX FWD w/ A-Spec Package,44895,"2,148",4-Cylinder Turbo,Automatic,Red,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Advance Package,29550,"43,275",4-Cylinder Turbo,Automatic,White,2 wheel drive - front
Certified 2020 Acura MDX SH-AWD w/ Advance Package,40585,"24,735",6-Cylinder,Automatic,White,All Wheel Drive
Used 2019 Acura RDX FWD w/ Advance Package,30987,"39,761",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Technology Package,26999,"58,664",4-Cylinder Turbo,Automatic,Gray,2 wheel drive - front
Used 2022 Acura MDX FWD w/ Technology Package,43515,"25,476",6-Cylinder,Automatic,Silver,2 wheel drive - front
Used 2019 Acura RDX FWD w/ A-Spec & Technology Pkg,25999,"74,182",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2017 Acura RDX AWD w/ Advance Package,23493,"71,996",6-Cylinder,Automatic,Black,All wheel drive
Used 2020 Acura RDX FWD w/ Advance Package,33000,"25,745",4-Cylinder Turbo,Automatic,Black,2 wheel drive - front
Used 2021 Acura TLX w/ Advance Package,39568,"9,151",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Used 2017 Acura TLX,21998,"68,667",4-Cylinder,Automatic,White,2 wheel drive - front
Used 2021 Acura TLX w/ Technology Package,36568,"7,774",4-Cylinder Turbo,Automatic,Silver,2 wheel drive - front
Certified 2023 Acura TLX SH-AWD w/ A-SPEC Pkg,43866,"2,296",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Certified 2019 Acura TLX,25968,"24,100",4-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2023 Acura TLX w/ A-SPEC Pkg,42865,"2,351",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura RDX FWD w/ A-Spec & Technology Pkg,33565,"49,001",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,32998,"51,150",6-Cylinder,Automatic,Off White,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,33468,"45,098",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35698,"25,703",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35968,"25,939",6-Cylinder,Automatic,Gray,2 wheel drive - front
Certified 2023 Acura MDX SH-AWD w/ Advance Package,60998,"2,680",6-Cylinder,Automatic,Off White,All wheel drive
Certified 2019 Acura ILX,21998,"63,511",4-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2023 Acura Integra A-Spec,34539,"7,115",4-Cylinder Turbo,Automatic,Blue,2 Wheel Drive - Front
Used 2020 Acura TLX V6 SH-AWD w/ Advance Package,33988,"23,243",6-Cylinder,Automatic,Gray,All Wheel Drive
Used 2020 Acura RDX,34997,"41,174",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Used 2019 Acura MDX SH-AWD w/ A-SPEC Package,31993,"39,008",6-Cylinder,Automatic,Blue,All wheel drive
Used 2017 Acura RDX FWD w/ Advance Package,23923,"56,546",6-Cylinder,Automatic,Black,2 wheel drive - front
Used 2023 Acura RDX FWD w/ A-Spec Package,44895,"2,148",4-Cylinder Turbo,Automatic,Red,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Advance Package,29550,"43,275",4-Cylinder Turbo,Automatic,White,2 wheel drive - front
Used 2020 Acura MDX Sport Hybrid w/ Technology Pkg,45500,"23,011",Hybrid,Automatic,Offwhite,All Wheel Drive
Used 2019 Acura RDX FWD w/ Advance Package,30987,"39,761",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Technology Package,26999,"58,664",4-Cylinder Turbo,Automatic,Gray,2 wheel drive - front
Used 2022 Acura MDX FWD w/ Technology Package,43515,"25,476",6-Cylinder,Automatic,Silver,2 wheel drive - front
Used 2019 Acura RDX FWD w/ A-Spec & Technology Pkg,25999,"74,182",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2017 Acura RDX AWD w/ Advance Package,23493,"71,996",6-Cylinder,Automatic,Black,All wheel drive
Used 2020 Acura RDX FWD w/ Advance Package,33000,"25,745",4-Cylinder Turbo,Automatic,Black,2 wheel drive - front
Used 2021 Acura TLX w/ Advance Package,39568,"9,151",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Used 2017 Acura TLX,21998,"68,667",4-Cylinder,Automatic,White,2 wheel drive - front
Used 2021 Acura TLX w/ Technology Package,36568,"7,774",4-Cylinder Turbo,Automatic,Silver,2 wheel drive - front
Certified 2023 Acura TLX SH-AWD w/ A-SPEC Pkg,43866,"2,296",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Certified 2019 Acura TLX,25968,"24,100",4-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2023 Acura TLX w/ A-SPEC Pkg,42865,"2,351",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura RDX FWD w/ A-Spec & Technology Pkg,33565,"49,001",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,32998,"51,150",6-Cylinder,Automatic,Off White,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,33468,"45,098",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35698,"25,703",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35968,"25,939",6-Cylinder,Automatic,Gray,2 wheel drive - front
Certified 2023 Acura MDX SH-AWD w/ Advance Package,60998,"2,680",6-Cylinder,Automatic,Off White,All wheel drive
Certified 2019 Acura ILX,21998,"63,511",4-Cylinder,Automatic,Off White,2 wheel drive - front
Used 2021 Acura TLX w/ Advance Package,37890,"13,886",4-Cylinder Turbo,Automatic,Silver,2 Wheel Drive - Front
Used 2018 Acura TLX w/ Technology Package,26995,"30,001",4-Cylinder,Automatic,Gray,2 Wheel Drive - Front
Used 2020 Acura RDX,34997,"41,174",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Used 2019 Acura MDX SH-AWD w/ A-SPEC Package,31993,"39,008",6-Cylinder,Automatic,Blue,All wheel drive
Used 2017 Acura RDX FWD w/ Advance Package,23923,"56,546",6-Cylinder,Automatic,Black,2 wheel drive - front
Used 2023 Acura RDX FWD w/ A-Spec Package,44895,"2,148",4-Cylinder Turbo,Automatic,Red,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Advance Package,29550,"43,275",4-Cylinder Turbo,Automatic,White,2 wheel drive - front
Certified 2023 Acura MDX SH-AWD w/ A-Spec Package,52988,"7,060",6-Cylinder,Automatic,Blue,All Wheel Drive
Used 2019 Acura RDX FWD w/ Advance Package,30987,"39,761",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Technology Package,26999,"58,664",4-Cylinder Turbo,Automatic,Gray,2 wheel drive - front
Used 2022 Acura MDX FWD w/ Technology Package,43515,"25,476",6-Cylinder,Automatic,Silver,2 wheel drive - front
Used 2019 Acura RDX FWD w/ A-Spec & Technology Pkg,25999,"74,182",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2017 Acura RDX AWD w/ Advance Package,23493,"71,996",6-Cylinder,Automatic,Black,All wheel drive
Used 2020 Acura RDX FWD w/ Advance Package,33000,"25,745",4-Cylinder Turbo,Automatic,Black,2 wheel drive - front
Used 2021 Acura TLX w/ Advance Package,39568,"9,151",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Used 2017 Acura TLX,21998,"68,667",4-Cylinder,Automatic,White,2 wheel drive - front
Used 2021 Acura TLX w/ Technology Package,36568,"7,774",4-Cylinder Turbo,Automatic,Silver,2 wheel drive - front
Certified 2023 Acura TLX SH-AWD w/ A-SPEC Pkg,43866,"2,296",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Certified 2019 Acura TLX,25968,"24,100",4-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2023 Acura TLX w/ A-SPEC Pkg,42865,"2,351",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura RDX FWD w/ A-Spec & Technology Pkg,33565,"49,001",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,32998,"51,150",6-Cylinder,Automatic,Off White,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,33468,"45,098",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35698,"25,703",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35968,"25,939",6-Cylinder,Automatic,Gray,2 wheel drive - front
Certified 2023 Acura MDX SH-AWD w/ Advance Package,60998,"2,680",6-Cylinder,Automatic,Off White,All wheel drive
Certified 2019 Acura ILX,21998,"63,511",4-Cylinder,Automatic,Off White,2 wheel drive - front
Used 2018 Acura MDX SH-AWD w/ Technology Package,27961,"54,636",6-Cylinder,Automatic,Silver,All Wheel Drive
Used 2018 Acura RDX AWD w/ Technology Package,24409,"55,751",6-Cylinder,Automatic,White,All Wheel Drive
Used 2020 Acura RDX,34997,"41,174",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Used 2019 Acura MDX SH-AWD w/ A-SPEC Package,31993,"39,008",6-Cylinder,Automatic,Blue,All wheel drive
Used 2017 Acura RDX FWD w/ Advance Package,23923,"56,546",6-Cylinder,Automatic,Black,2 wheel drive - front
Used 2023 Acura RDX FWD w/ A-Spec Package,44895,"2,148",4-Cylinder Turbo,Automatic,Red,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Advance Package,29550,"43,275",4-Cylinder Turbo,Automatic,White,2 wheel drive - front
Used 2023 Acura MDX SH-AWD w/ A-Spec Package,57441,"5,978",6-Cylinder,Automatic,Black,All Wheel Drive
Used 2019 Acura RDX FWD w/ Advance Package,30987,"39,761",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Technology Package,26999,"58,664",4-Cylinder Turbo,Automatic,Gray,2 wheel drive - front
Used 2022 Acura MDX FWD w/ Technology Package,43515,"25,476",6-Cylinder,Automatic,Silver,2 wheel drive - front
Used 2019 Acura RDX FWD w/ A-Spec & Technology Pkg,25999,"74,182",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2017 Acura RDX AWD w/ Advance Package,23493,"71,996",6-Cylinder,Automatic,Black,All wheel drive
Used 2020 Acura RDX FWD w/ Advance Package,33000,"25,745",4-Cylinder Turbo,Automatic,Black,2 wheel drive - front
Used 2021 Acura TLX w/ Advance Package,39568,"9,151",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Used 2017 Acura TLX,21998,"68,667",4-Cylinder,Automatic,White,2 wheel drive - front
Used 2021 Acura TLX w/ Technology Package,36568,"7,774",4-Cylinder Turbo,Automatic,Silver,2 wheel drive - front
Certified 2023 Acura TLX SH-AWD w/ A-SPEC Pkg,43866,"2,296",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Certified 2019 Acura TLX,25968,"24,100",4-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2023 Acura TLX w/ A-SPEC Pkg,42865,"2,351",4-Cylinder Turbo,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura RDX FWD w/ A-Spec & Technology Pkg,33565,"49,001",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,32998,"51,150",6-Cylinder,Automatic,Off White,2 wheel drive - front
Used 2020 Acura MDX FWD w/ Technology Package,33468,"45,098",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35698,"25,703",6-Cylinder,Automatic,Off White,2 wheel drive - front
Certified 2020 Acura MDX FWD w/ Technology Package,35968,"25,939",6-Cylinder,Automatic,Gray,2 wheel drive - front
Certified 2023 Acura MDX SH-AWD w/ Advance Package,60998,"2,680",6-Cylinder,Automatic,Off White,All wheel drive
Certified 2019 Acura ILX,21998,"63,511",4-Cylinder,Automatic,Off White,2 wheel drive - front
Used 2018 Acura RDX FWD,20532,"76,160",6-Cylinder,Automatic,Silver,2 Wheel Drive - Front
Used 2020 Acura MDX SH-AWD,33990,"37,766",6-Cylinder,Automatic,Gray,All Wheel Drive
Used 2020 Acura RDX,34997,"41,174",4-Cylinder Turbo,Automatic,Gray,All wheel drive
Used 2019 Acura MDX SH-AWD w/ A-SPEC Package,31993,"39,008",6-Cylinder,Automatic,Blue,All wheel drive
Used 2017 Acura RDX FWD w/ Advance Package,23923,"56,546",6-Cylinder,Automatic,Black,2 wheel drive - front
Used 2023 Acura RDX FWD w/ A-Spec Package,44895,"2,148",4-Cylinder Turbo,Automatic,Red,2 wheel drive - front
Used 2019 Acura RDX FWD w/ Advance Package,29550,"43,275",4-Cylinder Turbo,Automatic,White,2 wheel drive - front
Used 2023 Acura MDX SH-AWD w/ Advance Package,59500,"2,128",6-Cylinder,Automatic,Black,All Wheel Drive
Used 2019 Acura RDX FWD w/ Advance Package,30987,"39,761",4-Cylinder Turbo,Automatic,Blue,2 wheel drive - front
